source,target,lag,p_value,effect_size,abs_effect_size,connection_type,connection_string
T1,T2,0,0.0,0.4378832973728264,0.4378832973728264,x-x,"(0,0) x-x (1,0)"
T1,T2,1,3.371853312948138e-129,0.23853824610103275,0.23853824610103275,-->,"(0,-1) --> (1,0)"
T1,C,0,2.425340165413122e-69,0.17483953417316797,0.17483953417316797,-->,"(0,0) --> (4,0)"
T1,C,1,0.00026958964256206257,0.036452394353603174,0.036452394353603174,-->,"(0,-1) --> (4,0)"
T2,T1,0,0.0,0.4378832973728264,0.4378832973728264,x-x,"(1,0) x-x (0,0)"
T2,T1,1,2.5567648874266147e-73,0.1797919099288669,0.1797919099288669,-->,"(1,-1) --> (0,0)"
T2,C,0,5.777400834521405e-59,0.16103180689463145,0.16103180689463145,-->,"(1,0) --> (4,0)"
T2,C,1,9.182228376444829e-13,0.07139731341138422,0.07139731341138422,-->,"(1,-1) --> (4,0)"
T2,u2,0,2.8025646969144018e-08,0.055525307686238895,0.055525307686238895,<--,"(1,0) <-- (7,0)"
T3,P,2,0.0007861872826029131,0.03359605743015439,0.03359605743015439,<->,"(2,-2) <-> (5,0)"
T3,u3,0,3.77186576253791e-26,0.10552347756126008,0.10552347756126008,<--,"(2,0) <-- (8,0)"
T4,P,1,0.0067733172844786195,0.027096633439726327,0.027096633439726327,<->,"(3,-1) <-> (5,0)"
T4,P,2,0.02206845930947007,0.022908925281544815,0.022908925281544815,-->,"(3,-2) --> (5,0)"
T4,u4,0,8.083510472525377e-12,0.06832315841768419,0.06832315841768419,<--,"(3,0) <-- (9,0)"
C,T1,0,2.425340165413122e-69,0.17483953417316797,0.17483953417316797,<--,"(4,0) <-- (0,0)"
C,T1,1,3.1008378441682683e-09,0.05925259320018097,0.05925259320018097,<->,"(4,-1) <-> (0,0)"
C,T2,0,5.777400834521405e-59,0.16103180689463145,0.16103180689463145,<--,"(4,0) <-- (1,0)"
C,T2,1,7.598839150732659e-09,0.0577620050519798,0.0577620050519798,<->,"(4,-1) <-> (1,0)"
C,u3,0,0.005206071639345204,0.027958998550509623,0.027958998550509623,<--,"(4,0) <-- (8,0)"
P,T1,1,0.005391680514702229,-0.02784967152519583,0.02784967152519583,<->,"(5,-1) <-> (0,0)"
P,T1,2,1.8282756475402404e-29,-0.11244357076055173,0.11244357076055173,-->,"(5,-2) --> (0,0)"
P,T2,1,0.027770939093217296,-0.02202498878644485,0.02202498878644485,<->,"(5,-1) <-> (1,0)"
P,T2,2,9.22032700138825e-32,-0.1169682168734188,0.1169682168734188,-->,"(5,-2) --> (1,0)"
P,u3,0,0.0198682693068277,0.023303167859241435,0.023303167859241435,<--,"(5,0) <-- (8,0)"
P,u4,0,0.02327870703744048,0.02270297085182119,0.02270297085182119,<--,"(5,0) <-- (9,0)"
u1,T1,1,0.0,0.46139627938760996,0.46139627938760996,-->,"(6,-1) --> (0,0)"
u1,T2,2,0.0,-0.7508131580654573,0.7508131580654573,-->,"(6,-2) --> (1,0)"
u1,P,1,2.5193959271041296e-226,0.3132973973287535,0.3132973973287535,-->,"(6,-1) --> (5,0)"
u1,P,2,5.232003027361012e-42,0.13529115240147832,0.13529115240147832,-->,"(6,-2) --> (5,0)"
u2,T1,1,0.026185058146388048,-0.022246831499653473,0.022246831499653473,-->,"(7,-1) --> (0,0)"
u2,T1,2,1.2924531205128299e-171,-0.27410649367850537,0.27410649367850537,-->,"(7,-2) --> (0,0)"
u2,T2,0,2.8025646969144018e-08,0.055525307686238895,0.055525307686238895,-->,"(7,0) --> (1,0)"
u2,T2,1,0.0,0.4330734002022699,0.4330734002022699,-->,"(7,-1) --> (1,0)"
u2,P,1,5.408951642288614e-233,0.3176823201180056,0.3176823201180056,-->,"(7,-1) --> (5,0)"
u2,P,2,9.039369077128222e-42,0.13489525870032143,0.13489525870032143,-->,"(7,-2) --> (5,0)"
u3,T3,0,3.77186576253791e-26,0.10552347756126008,0.10552347756126008,-->,"(8,0) --> (2,0)"
u3,T3,1,0.0,0.568253477315139,0.568253477315139,-->,"(8,-1) --> (2,0)"
u3,T3,2,1.6321449413940474e-141,0.2493719883257441,0.2493719883257441,-->,"(8,-2) --> (2,0)"
u3,C,0,0.005206071639345204,0.027958998550509623,0.027958998550509623,-->,"(8,0) --> (4,0)"
u3,C,1,1.5997422623447986e-49,0.14723325452020777,0.14723325452020777,-->,"(8,-1) --> (4,0)"
u3,C,2,5.352645173248634e-13,0.07212225557271523,0.07212225557271523,-->,"(8,-2) --> (4,0)"
u3,P,0,0.0198682693068277,0.023303167859241435,0.023303167859241435,-->,"(8,0) --> (5,0)"
u3,P,1,8.511460375272601e-88,0.1968361938140281,0.1968361938140281,-->,"(8,-1) --> (5,0)"
