source_row_index,time,X1A,Y1A,X2A,Y2A,X3A,Y3A,X4A,Y4A,X5A,Y5A,X1B,Y1B,X2B,Y2B,X3B,Y3B,X4B,Y4B,s1,c1,s2,c2,s3,c3,L_A,G_A,X0_A,Y6_A,L_B,G_B,X0_B,Y5_B,H1,H2,H3,time_hours
4,2.2222222222222223,0.262,0.146,0.136,0.094,0.08,0.064,0.062,0.06,0.064,0.056,0.246,0.144,0.114,0.09,0.072,0.048,0.072,0.06,0.3894183423086505,0.9210609940028852,0.7621752729138397,0.6473707232789524,0.9992983441292992,0.0374542310085335,8.0,50.0,0.6,0.05,7.5,50.0,0.6,0.05,0.1168255026925951,0.1524350545827679,0.1798737019432738,2.2222222222222223
14,7.777777777777778,0.266,0.144,0.142,0.088,0.078,0.064,0.066,0.06,0.056,0.058,0.256,0.128,0.114,0.074,0.072,0.066,0.06,0.048,0.98544972998846,0.169967142900241,0.9992983441292992,0.0374542310085335,0.6996631969312388,-0.7144728202387818,8.400305493134933,50.0,0.6,0.05,7.5,50.0,0.6,0.05,0.295634918996538,0.1998596688258598,0.125939375447623,7.777777777777778
24,13.333333333333332,0.256,0.132,0.124,0.084,0.076,0.054,0.05,0.052,0.046,0.052,0.24,0.132,0.11,0.076,0.07,0.062,0.064,0.052,0.675463180551151,-0.7373937155412454,0.8084964038195901,-0.5885011172553458,-0.05837414342758,-0.9982947757947532,8.400305493134933,57.94427601939151,0.6,0.05,7.5,50.0,0.6,0.05,0.2026389541653452,0.161699280763918,-0.0105073458169644,13.333333333333332
34,18.88888888888889,0.26,0.136,0.13,0.086,0.074,0.062,0.062,0.048,0.042,0.042,0.24,0.132,0.108,0.074,0.07,0.056,0.056,0.064,-0.2555411020268312,-0.9667981925794612,0.2714757041622825,-0.9624452930164876,-0.7781661744883689,-0.6280584406583017,8.400305493134933,57.94427601939151,0.6551371380490387,0.05,7.5,50.0,0.6,0.05,-0.0766623306080493,0.0542951408324565,-0.1400699114079064,18.88888888888889
44,24.444444444444443,0.256,0.108,0.11,0.07,0.058,0.05,0.04,0.044,0.04,0.032,0.228,0.128,0.118,0.076,0.068,0.076,0.048,0.052,-0.9516020738895158,-0.3073328699784202,-0.3817978087964113,-0.9242458726974436,-0.9881227838869232,0.1536664047980449,8.400305493134933,57.94427601939151,0.6551371380490387,0.0337810784985887,7.5,50.0,0.6,0.05,-0.2854806221668547,-0.0763595617592822,-0.1778621010996462,24.444444444444443
54,30.0,0.254,0.12,0.116,0.062,0.054,0.048,0.05,0.03,0.028,0.032,0.212,0.124,0.1,0.076,0.066,0.058,0.058,0.05,-0.7727644875559877,0.6346928759426339,-0.8715757724135877,-0.4902608213407002,-0.5506855425976376,0.8347127848391598,8.400305493134933,57.94427601939151,0.6551371380490387,0.0337810784985887,6.9004988547336765,50.0,0.6,0.05,-0.2318293462667963,-0.1743151544827175,-0.0991233976675747,30.0
64,35.55555555555556,0.258,0.124,0.12,0.064,0.062,0.038,0.05,0.04,0.034,0.028,0.22,0.12,0.114,0.08,0.064,0.054,0.05,0.054,0.1165492048504936,0.9931849187581926,-0.9881227838869232,0.1536664047980449,0.2475473809225765,0.9688757888389888,8.400305493134933,57.94427601939151,0.6551371380490387,0.0337810784985887,6.9004988547336765,57.47106890792524,0.6,0.05,0.034964761455148,-0.1976245567773846,0.0445585285660637,35.55555555555556
74,41.11111111111111,0.266,0.12,0.12,0.072,0.054,0.046,0.044,0.036,0.04,0.034,0.194,0.112,0.09,0.064,0.062,0.05,0.052,0.058,0.8987080958116269,0.4385473275743903,-0.6815304434667846,0.7317897612210544,0.883593322443704,0.4682551019827723,8.400305493134933,57.94427601939151,0.6551371380490387,0.0337810784985887,6.9004988547336765,57.47106890792524,0.501053060913115,0.05,0.269612428743488,-0.1363060886933569,0.1590467980398667,41.11111111111111
84,46.66666666666666,0.264,0.116,0.112,0.056,0.064,0.05,0.044,0.026,0.034,0.038,0.248,0.174,0.164,0.132,0.136,0.128,0.12,0.12,0.8545989080882814,-0.5192886541166841,-0.0830894028174972,0.9965420970232174,0.9407305566797732,-0.3391548609838345,8.400305493134933,57.94427601939151,0.6551371380490387,0.0337810784985887,6.9004988547336765,57.47106890792524,0.501053060913115,0.1231842627574149,0.2563796724264844,-0.0166178805634994,0.1693315002023591,46.66666666666666
94,52.22222222222222,0.268,0.124,0.12,0.064,0.072,0.052,0.044,0.04,0.046,0.028,0.24,0.172,0.162,0.134,0.124,0.124,0.132,0.122,0.0247754254533577,-0.9996930420352064,0.5509326371071146,0.8345497165359296,0.3815241669453948,-0.9243588643144082,8.950622172006547,57.94427601939151,0.6551371380490387,0.0337810784985887,6.9004988547336765,57.47106890792524,0.501053060913115,0.1231842627574149,0.0074326276360073,0.1101865274214229,0.068674350050171,52.22222222222222
