source_row_index,time,X1A,Y1A,X2A,Y2A,X3A,Y3A,X4A,Y4A,X5A,Y5A,X1B,Y1B,X2B,Y2B,X3B,Y3B,X4B,Y4B,s1,c1,s2,c2,s3,c3,L_A,G_A,X0_A,Y6_A,L_B,G_B,X0_B,Y5_B,H1,H2,H3,time_hours
4,2.2222222222222223,0.2669112257661857,0.1481027255040715,0.1384580389877676,0.0946427600762371,0.0804189031150536,0.0640053242025281,0.0614025799340793,0.061056158457577,0.0649933645778542,0.0565462259909543,0.2513253323457709,0.1472782328792051,0.1153270943586989,0.090011670569075,0.0731918464507286,0.0473647365763328,0.0724068264655978,0.0610426945609465,0.9968,0.0,0.9968,0.0,0.9968,0.0,8.0,50.0,0.6,0.05,7.5,50.0,0.6,0.05,0.29904,0.19936,0.179424,2.2222222222222223
14,7.777777777777778,0.2660537638990079,0.1431940516049822,0.1417488757600686,0.088259074106791,0.0787165112352263,0.0639410634429332,0.0653501212488934,0.0601520830167792,0.0565900546945647,0.0573766298960324,0.2552504773983195,0.1289461223270288,0.1148142037706064,0.0740326285173024,0.0728832135711473,0.0663482910308886,0.0602848869805473,0.0471774042087085,0.9888,0.0,0.9888,0.0,0.9888,0.0,8.400305493134933,50.0,0.6,0.05,7.5,50.0,0.6,0.05,0.29664,0.19776,0.177984,7.777777777777778
24,13.333333333333332,0.2579119132344265,0.1321984678339313,0.1236828406878967,0.0851600582883609,0.0762056611860552,0.0534376788332738,0.0490567423517725,0.0529666578554936,0.0470045481824101,0.0521743795182953,0.2412501038397627,0.1330952755379559,0.1096598433677512,0.0766718260206917,0.0699267716848074,0.0618502293038074,0.0634652981322661,0.0512478372806525,0.9808,0.0,0.9808,0.0,0.9808,0.0,8.400305493134933,57.94427601939151,0.6,0.05,7.5,50.0,0.6,0.05,0.29424,0.19616,0.176544,13.333333333333332
34,18.88888888888889,0.2680113554597091,0.1396276935630308,0.133364995733779,0.0878400910590872,0.0758581935326779,0.062788824061848,0.0612873660856186,0.0478979868055941,0.0422509744929918,0.0411066229698683,0.2507360631422247,0.135488447800416,0.110257153752215,0.075340479738917,0.0702430421484343,0.0571967102462534,0.0567600079140071,0.0635823982983449,0.9728,0.0,0.9728,0.0,0.9728,0.0,8.400305493134933,57.94427601939151,0.6551371380490387,0.05,7.5,50.0,0.6,0.05,0.29184,0.19456,0.1751039999999999,18.88888888888889
44,24.444444444444443,0.2699535113661702,0.1144977158663823,0.1138142815011804,0.0726339004918279,0.0592160249092018,0.0511744489570614,0.0412993113204542,0.0432340773753222,0.0399698166020706,0.0326577866629829,0.2437795312845959,0.1340814377967703,0.1228791065704084,0.078557926520781,0.0689486615185543,0.075628471806268,0.0490118677989284,0.0511569803146916,0.9648,0.0,0.9648,0.0,0.9648,0.0,8.400305493134933,57.94427601939151,0.6551371380490387,0.0337810784985887,7.5,50.0,0.6,0.05,0.28944,0.19296,0.1736639999999999,24.444444444444443
54,30.0,0.2657771607797373,0.1270438596709705,0.1203826121368737,0.0640707268675029,0.0547199269324361,0.0482941572513825,0.050097233808838,0.02985471572833,0.0276599755197996,0.032492963991168,0.2259831757130308,0.1304684533645054,0.1032889153698043,0.0785292297011762,0.0667462559429099,0.0580659950238738,0.0587092951741856,0.0507812066940711,0.9568,0.0,0.9568,0.0,0.9568,0.0,8.400305493134933,57.94427601939151,0.6551371380490387,0.0337810784985887,6.9004988547336765,50.0,0.6,0.05,0.2870399999999999,0.19136,0.172224,30.0
64,35.55555555555556,0.2612914447623118,0.1263500641861603,0.1208112109643184,0.064555946406638,0.0626204297015855,0.0382012455600376,0.0508165038295904,0.0394539132001431,0.0343646172547397,0.0277524984925821,0.2269190037362643,0.1222748282722149,0.1153485854060013,0.079984440318865,0.064097658004582,0.0535682974194384,0.0494571003929547,0.0534203804991343,0.9488,0.0,0.9488,0.0,0.9488,0.0,8.400305493134933,57.94427601939151,0.6551371380490387,0.0337810784985887,6.9004988547336765,57.47106890792524,0.6,0.05,0.28464,0.18976,0.170784,35.55555555555556
74,41.11111111111111,0.2628554954351945,0.1209125442313239,0.1189385820872443,0.0724978119897885,0.0527915075766234,0.045682224473381,0.0432130884086095,0.0360059863076925,0.039057067997764,0.0337150841457079,0.1945737926088296,0.1123537178403503,0.0898666696066694,0.0650347583451044,0.0612525023932553,0.0507994043166181,0.0510922938201027,0.0581195290397094,0.9408,0.0,0.9408,0.0,0.9408,0.0,8.400305493134933,57.94427601939151,0.6551371380490387,0.0337810784985887,6.9004988547336765,57.47106890792524,0.501053060913115,0.05,0.28224,0.18816,0.169344,41.11111111111111
84,46.66666666666666,0.2620671000863109,0.1161491182331133,0.1107282590539428,0.0560895015143321,0.0637550068480582,0.0491769621192526,0.0438378295478533,0.0267626490187118,0.0344188912126231,0.0379450826569634,0.2487311344214563,0.1738755185527065,0.1643838015305149,0.1316741698888364,0.1350538215086469,0.1281823568144755,0.1207300558003846,0.1206217840249991,0.9328,0.0,0.9328,0.0,0.9328,0.0,8.400305493134933,57.94427601939151,0.6551371380490387,0.0337810784985887,6.9004988547336765,57.47106890792524,0.501053060913115,0.1231842627574149,0.27984,0.18656,0.167904,46.66666666666666
94,52.22222222222222,0.2755933533059498,0.1268061144184531,0.1220232243593185,0.0640002169577536,0.0720822224324922,0.0522435241986703,0.0436828145509264,0.0392311373044051,0.0452114347666374,0.0272496428495066,0.2467788823775253,0.1735850641157305,0.1639320761992789,0.1353486294614854,0.1247159838787844,0.1237976738021175,0.1314931012404736,0.1211050146788339,0.9248,0.0,0.9248,0.0,0.9248,0.0,8.950622172006547,57.94427601939151,0.6551371380490387,0.0337810784985887,6.9004988547336765,57.47106890792524,0.501053060913115,0.1231842627574149,0.2774399999999999,0.18496,0.1664639999999999,52.22222222222222
104,57.77777777777777,0.2852738509873537,0.159456901814498,0.1344913364586679,0.0815814648063958,0.0718430138280515,0.0484939003583274,0.0450376726770574,0.0407468691926937,0.0394071231260698,0.0391312499227571,0.2452855214683741,0.1774268014507185,0.1661818427280441,0.1261059849385203,0.1274935092686715,0.1252693494459592,0.127166125883587,0.1268758422014322,0.9168,0.0,0.9168,0.0,0.9168,0.0,8.950622172006547,49.358699056874414,0.6551371380490387,0.0337810784985887,6.9004988547336765,57.47106890792524,0.501053060913115,0.1231842627574149,0.27504,0.18336,0.165024,57.77777777777777
