regime,best_method,retained_at_zero_delta,critical_delta,error_factor,bottleneck_method,bottleneck_eliminator
zero,RBF GP,2,0.0701124979873664,1.1752019353453442,Matern GP,RBF GP
var,Matern GP,4,0.35731320640501063,2.2767387873350544,RBF GP,Matern GP
