"method","variant","system","output","input","value","local_gradient_std","sample_count","allowed_by_graph","controls","runtime_seconds","basis_terms","operating_input","basis_coefficients","raw_value","source_row_index","T1","T2","T3","T4","C","P","H","u1","u2","u3","u4","kernel","ridge_alpha","epochs","hidden","layers","batch_size","learning_rate","window","fd_relative_step","depth","rollout_horizon","ridge","solve_method","ss_max_steps","ss_steps_done","ss_residual_mean","ss_residual_max","pinv_rcond"
"dml_basis","graph_control","heat","C","u1","-3.957412869729648","0.396797188290384","713.0","True","[""P"", ""T1"", ""T2"", ""T3"", ""T4"", ""u2"", ""u3"", ""u4""]","498.6290373000084","linear,square,cube,tanh,signed_log1p","0.7937340560630288","{""linear"": -1.8672776396187036, ""square"": -0.9145145712766813, ""cube"": 0.32198411379788194, ""tanh"": 1.9248263852569838, ""signed_log1p"": -4.182966589902155}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"dml_basis","graph_control","heat","C","u2","-3.391832163643994","0.2657219937413927","713.0","True","[""P"", ""T1"", ""T2"", ""T3"", ""T4"", ""u1"", ""u3"", ""u4""]","498.6290373000084","linear,square,cube,tanh,signed_log1p","2.134779724551564","{""linear"": -1.7469652689303192, ""square"": -0.35907433889005375, ""cube"": 0.015086550890048903, ""tanh"": -1.7653420753238784, ""signed_log1p"": -0.6958305647976506}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"dml_basis","graph_control","heat","C","u3","0.9646685119755936","1.051441186854093","713.0","True","[""P"", ""T1"", ""T2"", ""T3"", ""T4"", ""u1"", ""u2"", ""u4""]","498.6290373000084","linear,square,cube,tanh,signed_log1p","3.073007760299593","{""linear"": 2.7101487805671254, ""square"": -0.6108140051945157, ""cube"": 0.019437680307100545, ""tanh"": -5.517934051923673, ""signed_log1p"": 6.129859720230102}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"dml_basis","graph_control","heat","C","u4","-0.4649227312817334","0.80917791778146","713.0","True","[""P"", ""T1"", ""T2"", ""T3"", ""T4"", ""u1"", ""u2"", ""u3""]","498.6290373000084","linear,square,cube,tanh,signed_log1p","1.1926289603787767","{""linear"": -4.196310239459955, ""square"": -0.8992945592331756, ""cube"": 0.07341491089518443, ""tanh"": -15.795138907406905, ""signed_log1p"": 22.892134848760904}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"dml_basis","graph_control","heat","P","u1","8.311834126858274","0.6288597072859612","713.0","True","[""T3"", ""u2"", ""u3"", ""u4""]","498.6290373000084","linear,square,cube,tanh,signed_log1p","0.7937340560630288","{""linear"": -4.164152231049678, ""square"": 3.6816644305204744, ""cube"": -0.31810348046570863, ""tanh"": 10.235887080597205, ""signed_log1p"": 2.6234669834173947}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"dml_basis","graph_control","heat","P","u2","7.642001833473234","1.781011428983552","713.0","True","[""T3"", ""u1"", ""u3"", ""u4""]","498.6290373000084","linear,square,cube,tanh,signed_log1p","2.134779724551564","{""linear"": 4.747676990759961, ""square"": 0.9533240218757116, ""cube"": 0.014577879102487307, ""tanh"": 13.948502509398526, ""signed_log1p"": -6.690607329993204}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"dml_basis","graph_control","heat","P","u3","9.002605833813762","6.084695597696456","713.0","True","[""T3"", ""u1"", ""u2"", ""u4""]","498.6290373000084","linear,square,cube,tanh,signed_log1p","3.073007760299593","{""linear"": -7.366160338231863, ""square"": 4.346960876647749, ""cube"": -0.12800750271652436, ""tanh"": 51.76727273427106, ""signed_log1p"": -29.174553363935704}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"dml_basis","graph_control","heat","P","u4","9.330388384796166","0.3837810679159993","713.0","True","[""T3"", ""u1"", ""u2"", ""u3""]","498.6290373000084","linear,square,cube,tanh,signed_log1p","1.1926289603787767","{""linear"": 4.875533996281904, ""square"": 1.0527290369135218, ""cube"": -0.19532499067636708, ""tanh"": -4.3596783050512355, ""signed_log1p"": 9.04131443171144}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"dml_basis","graph_zero","heat","T1","u1","10.15428678819304","0.4135112392134111","713.0","True","[""u2"", ""u3"", ""u4""]","2.731986900093034","linear,square,cube,tanh,signed_log1p","0.7937340560630288","{""linear"": 4.410016274022382, ""square"": 2.705141142026806, ""cube"": -0.5215131608046477, ""tanh"": 2.972937937958366, ""signed_log1p"": 1.3627690103177275}","10.15428678819304","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"dml_basis","graph_zero","heat","T1","u2","-0.1530653205114107","0.24160937422332","713.0","True","[""u1"", ""u3"", ""u4""]","2.731986900093034","linear,square,cube,tanh,signed_log1p","2.134779724551564","{""linear"": 0.7242603627727269, ""square"": -0.09898837293268334, ""cube"": 0.02428296732634132, ""tanh"": 1.518046352299337, ""signed_log1p"": -2.725039704729494}","-0.1530653205114107","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
