"method","variant","system","output","input","value","local_gradient_std","sample_count","allowed_by_graph","controls","runtime_seconds","basis_terms","operating_input","basis_coefficients","raw_value","source_row_index","X1A","Y1A","X2A","Y2A","X3A","Y3A","X4A","Y4A","X5A","Y5A","X1B","Y1B","X2B","Y2B","X3B","Y3B","X4B","Y4B","s1","c1","s2","c2","s3","c3","L_A","G_A","X0_A","Y6_A","L_B","G_B","X0_B","Y5_B","H1","H2","H3","time_hours","kernel","fd_relative_step","ridge_alpha","epochs","hidden","layers","batch_size","learning_rate","window","ss_max_steps","ss_steps_done","ss_residual_mean","ss_residual_max","pinv_rcond","depth","ridge","solve_method"
"dml_basis","graph_control","multi_stage","Y1A","X0_A","0.02926615683470722","0.003079389837776696","500","True","[""G_A"", ""G_B"", ""L_A"", ""L_B"", ""X0_B"", ""X1A"", ""X1B"", ""X2A"", ""X2B"", ""X3A"", ""X3B"", ""X4A"", ""X4B"", ""X5A"", ""Y1B"", ""Y2A"", ""Y2B"", ""Y3A"", ""Y3B"", ""Y4A"", ""Y4B"", ""Y5A"", ""Y5_B"", ""Y6_A""]","4294.626649165992","linear,square,cube,tanh,signed_log1p","0.5948321958993195","{""linear"": 0.1544997151309792, ""square"": -0.012147439846135089, ""cube"": -0.03125660155112096, ""tanh"": -0.09713503801411727, ""signed_log1p"": -0.012920549089589506}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"dml_basis","graph_control","multi_stage","Y1A","Y6_A","-0.21590476976492412","0.1532444436489537","500","True","[""G_A"", ""G_B"", ""L_A"", ""L_B"", ""X0_A"", ""X0_B"", ""X1A"", ""X1B"", ""X2A"", ""X2B"", ""X3A"", ""X3B"", ""X4A"", ""X4B"", ""X5A"", ""Y1B"", ""Y2A"", ""Y2B"", ""Y3A"", ""Y3B"", ""Y4A"", ""Y4B"", ""Y5A"", ""Y5_B""]","4294.626649165992","linear,square,cube,tanh,signed_log1p","0.0752340793839252","{""linear"": -4.896718404937674, ""square"": -2.912291887370155, ""cube"": 21.23771887628081, ""tanh"": 4.337753981440969, ""signed_log1p"": 0.47858649953320176}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"dml_basis","graph_control","multi_stage","Y1A","L_B","-0.0013330702353512094","0.0012811574989852424","500","True","[""G_A"", ""G_B"", ""L_A"", ""X0_A"", ""X0_B"", ""X1A"", ""X1B"", ""X2A"", ""X2B"", ""X3A"", ""X3B"", ""X4A"", ""X4B"", ""X5A"", ""Y1B"", ""Y2A"", ""Y2B"", ""Y3A"", ""Y3B"", ""Y4A"", ""Y4B"", ""Y5A"", ""Y5_B"", ""Y6_A""]","4294.626649165992","linear,square,cube,tanh,signed_log1p","7.617146791264194","{""linear"": 0.0017403246029764532, ""square"": 0.002091802358075526, ""cube"": -0.00013827363152076492, ""tanh"": 133.32398612516778, ""signed_log1p"": -0.09479978234460884}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"dml_basis","graph_control","multi_stage","Y1A","G_B","-4.572298999759155e-05","0.0001549538364678307","500","True","[""G_A"", ""L_A"", ""L_B"", ""X0_A"", ""X0_B"", ""X1A"", ""X1B"", ""X2A"", ""X2B"", ""X3A"", ""X3B"", ""X4A"", ""X4B"", ""X5A"", ""Y1B"", ""Y2A"", ""Y2B"", ""Y3A"", ""Y3B"", ""Y4A"", ""Y4B"", ""Y5A"", ""Y5_B"", ""Y6_A""]","4294.626649165992","linear,square,cube,tanh,signed_log1p","49.870933865247906","{""linear"": 8.923385701302107e-05, ""square"": -2.763229353036109e-05, ""cube"": 3.0715282354738495e-07, ""tanh"": 0.0, ""signed_log1p"": 0.016755415515246612}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"dml_basis","graph_control","multi_stage","Y1A","X0_B","0.014797127787494757","0.007101527452317419","500","True","[""G_A"", ""G_B"", ""L_A"", ""L_B"", ""X0_A"", ""X1A"", ""X1B"", ""X2A"", ""X2B"", ""X3A"", ""X3B"", ""X4A"", ""X4B"", ""X5A"", ""Y1B"", ""Y2A"", ""Y2B"", ""Y3A"", ""Y3B"", ""Y4A"", ""Y4B"", ""Y5A"", ""Y5_B"", ""Y6_A""]","4294.626649165992","linear,square,cube,tanh,signed_log1p","0.5971993811738601","{""linear"": 0.23913504922786194, ""square"": 0.07835608274202023, ""cube"": -0.09545161108450852, ""tanh"": -0.5940164635697098, ""signed_log1p"": 0.3324750222662346}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"dml_basis","graph_control","multi_stage","Y1A","Y5_B","0.12624837595196037","0.02960489940192594","500","True","[""G_A"", ""G_B"", ""L_A"", ""L_B"", ""X0_A"", ""X0_B"", ""X1A"", ""X1B"", ""X2A"", ""X2B"", ""X3A"", ""X3B"", ""X4A"", ""X4B"", ""X5A"", ""Y1B"", ""Y2A"", ""Y2B"", ""Y3A"", ""Y3B"", ""Y4A"", ""Y4B"", ""Y5A"", ""Y6_A""]","4294.626649165992","linear,square,cube,tanh,signed_log1p","0.07703378391915479","{""linear"": 3.4462364573310165, ""square"": 0.2666118727508189, ""cube"": -5.845943207265037, ""tanh"": -1.3468663723035976, ""signed_log1p"": -2.0658433809367214}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"dml_basis","graph_control","multi_stage","X2A","L_A","0.004761943315648857","0.0031354239185179935","500","True","[""G_A"", ""G_B"", ""L_B"", ""X0_A"", ""X0_B"", ""X1A"", ""X1B"", ""X2B"", ""X3A"", ""X3B"", ""X4A"", ""X4B"", ""X5A"", ""Y1A"", ""Y1B"", ""Y2A"", ""Y2B"", ""Y3A"", ""Y3B"", ""Y4A"", ""Y4B"", ""Y5A"", ""Y5_B"", ""Y6_A""]","4294.626649165992","linear,square,cube,tanh,signed_log1p","8.053537154450346","{""linear"": -0.012468281042177039, ""square"": 0.0010232271307830565, ""cube"": -2.8611132931467335e-06, ""tanh"": 1450.4175693684933, ""signed_log1p"": 0.0065107899369972085}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"dml_basis","graph_control","multi_stage","X2A","G_A","0.0001860394160032975","0.0003203625896192591","500","True","[""G_B"", ""L_A"", ""L_B"", ""X0_A"", ""X0_B"", ""X1A"", ""X1B"", ""X2B"", ""X3A"", ""X3B"", ""X4A"", ""X4B"", ""X5A"", ""Y1A"", ""Y1B"", ""Y2A"", ""Y2B"", ""Y3A"", ""Y3B"", ""Y4A"", ""Y4B"", ""Y5A"", ""Y5_B"", ""Y6_A""]","4294.626649165992","linear,square,cube,tanh,signed_log1p","51.186953140919925","{""linear"": 0.0003706262451641958, ""square"": 1.9860623487300515e-06, ""cube"": -1.4647627669962136e-07, ""tanh"": 0.0, ""signed_log1p"": 0.03984168688506944}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"dml_basis","graph_control","multi_stage","X2A","X0_A","-0.012791166002706494","0.015083953569134854","500","True","[""G_A"", ""G_B"", ""L_A"", ""L_B"", ""X0_B"", ""X1A"", ""X1B"", ""X2B"", ""X3A"", ""X3B"", ""X4A"", ""X4B"", ""X5A"", ""Y1A"", ""Y1B"", ""Y2A"", ""Y2B"", ""Y3A"", ""Y3B"", ""Y4A"", ""Y4B"", ""Y5A"", ""Y5_B"", ""Y6_A""]","4294.626649165992","linear,square,cube,tanh,signed_log1p","0.5948321958993195","{""linear"": -0.6109885429396987, ""square"": 0.665248969221787, ""cube"": -0.2534545200682018, ""tanh"": 0.33030402206966136, ""signed_log1p"": -0.2560191937767913}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"dml_basis","graph_control","multi_stage","X2A","Y6_A","0.050549012163819906","0.10060359794456816","500","True","[""G_A"", ""G_B"", ""L_A"", ""L_B"", ""X0_A"", ""X0_B"", ""X1A"", ""X1B"", ""X2B"", ""X3A"", ""X3B"", ""X4A"", ""X4B"", ""X5A"", ""Y1A"", ""Y1B"", ""Y2A"", ""Y2B"", ""Y3A"", ""Y3B"", ""Y4A"", ""Y4B"", ""Y5A"", ""Y5_B""]","4294.626649165992","linear,square,cube,tanh,signed_log1p","0.0752340793839252","{""linear"": 3.478665127367181, ""square"": 0.4264479338547593, ""cube"": -9.703747224367937, ""tanh"": -2.08684867657833, ""signed_log1p"": -1.3466524887221352}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
