regime,method,Hbrn,Hdec,Hprbs,Hsin,Hstep
zero,Average LSE,0.1148084297487314,0.10247470402084281,0.1149156147394743,0.10766811014312862,0.09681716279199008
zero,Average LSE + graph zero,0.11296870409031688,0.09861464228351025,0.11116854111931916,0.10637674881718455,0.09605966822001932
zero,Average LSE + graph control,0.2025506708293154,0.14561044525665487,0.1604051503799324,0.2828245735431981,0.16195497461067268
zero,Expanded LSE,0.3388341906866788,0.16445897291037367,0.22073645320812918,0.25912112036392454,0.15066853204836972
zero,Expanded LSE + graph zero,0.33556563440125603,0.1504417025455105,0.21468275298308162,0.2524272171290729,0.14883027762990267
zero,Expanded LSE + graph control,0.3357594064079636,0.14611211339022623,0.21233576577482793,0.25242067336601504,0.14854477426578314
zero,Linear state-space estimator,9.173996770798132,61.733648392789156,26.386067565951098,15.374780115379805,21.590172137502467
zero,Neural ODE,151.83965151625506,40.59300396158846,78.76148562299059,39.55181223112691,13.674346891349236
zero,LSTM sequence model,0.9370944206342647,0.6431635441303777,0.7899529918644177,0.8914198339448464,0.6533829879002715
zero,Linear residual DML,0.14308533678096,0.18445024099436416,0.16900712646438495,0.16398481056746084,0.1765377054394833
zero,Linear residual DML + graph zero,0.14094827974024637,0.16757801491910243,0.15592489584116143,0.15902835881337615,0.17569832882898387
zero,Linear residual DML + graph control,1.9899045720394948,1.9025046865488549,1.7824963320067122,2.230978648099608,2.2106622796353363
zero,Expanded DML,14.314375587110774,33.811283833968396,18.938403235550297,19.179790932184257,24.710374689893683
zero,Expanded DML + graph zero,14.25866501013437,33.18354652706086,15.117782974513815,19.093257191558095,24.698219346519874
zero,Expanded DML + graph control,3.441926889752253,5.485738772511001,3.60121512863379,3.576442932421314,3.4367669453054326
zero,RBF GP,0.5364141298898517,0.7871210214900657,0.7533997072436541,0.6479507567091178,0.6137874795832746
zero,Matern GP,0.2482783291527592,0.4203508616139111,0.419487606810838,0.294570686181202,0.3042308846911529
var,Average LSE,0.15965169934445889,0.10895310947941671,0.13731417903074492,0.14304586384905213,0.11216263107392938
var,Average LSE + graph zero,0.13397311988220564,0.1049187010947512,0.13411802813621737,0.12254739740390562,0.10675968018247985
var,Average LSE + graph control,0.09394859613520017,0.10041600993609505,0.12101083505650072,0.12443902599145924,0.09548642043729598
var,Expanded LSE,0.31507281308645124,0.28995986458109396,0.24530451889140006,0.6532189107880962,0.31328182452802117
var,Expanded LSE + graph zero,0.25570863942214717,0.27107890585873623,0.24137903442546108,0.6006591630364397,0.30297524419030436
var,Expanded LSE + graph control,0.2861647808776628,0.2738258758486634,0.2344105090773774,0.581114506273166,0.3008790199319408
var,Linear state-space estimator,0.20427855668068726,0.5386331313902136,0.43811968095281334,0.23705089921410183,0.37635889391887606
var,Neural ODE,0.8649459196994546,0.774682939321908,1.4641659947485641,0.8438727369782638,1.2787250743652478
var,LSTM sequence model,0.4299688028285957,0.33300275563791115,0.42853959352019017,0.365964163565021,0.3545988112735257
var,Linear residual DML,0.43329774412846583,0.6866734942664804,0.6413139325436269,0.39701948161973427,0.6284030333499064
var,Linear residual DML + graph zero,0.4300173222553556,0.5819079065194482,0.6061558234243992,0.36854282975227887,0.5879510974112785
var,Linear residual DML + graph control,1.7341387955289271,1.7298501035955096,1.6248258882610844,1.86874658689701,1.933508410888414
var,Expanded DML,0.5693418220105934,0.732920792315685,0.7496997170187564,0.5670983559042218,0.7055152296896848
var,Expanded DML + graph zero,0.5562707928639934,0.6514196139702361,0.7275715276104445,0.5353095307169785,0.672716237347397
var,Expanded DML + graph control,1.949458984238959,1.7368753591243047,1.9062257439541856,2.743307966023028,2.047299254294717
var,RBF GP,0.4972248841750985,2.5265158522694002,4.108774249262836,2.149677431465138,3.725014910658656
var,Matern GP,0.3739534698455916,0.5525573305964321,0.43680408737617804,0.29078480863802936,0.9955498372677698
