regime,best_method,retained_at_zero_delta,critical_delta,error_factor,bottleneck_method,bottleneck_eliminator
zero,Average LSE + graph zero,2,0.056799509643733204,1.139723517171981,Average LSE,Average LSE + graph zero
var,Average LSE + graph control,6,0.332949583271792,2.1525318353670078,Linear state-space estimator,Average LSE + graph control
