regime,method,N1,N2,N3
zero,Average LSE,0.10846681532445493,0.1054549079385438,0.10808868960350163
zero,Average LSE + graph zero,0.10446545342192111,0.10508026915391241,0.10556726014237654
zero,Average LSE + graph control,0.19516890254375252,0.20997811435536376,0.16686047187274777
zero,Expanded LSE,0.24472848392771804,0.24555127869249033,0.1900117989102772
zero,Expanded LSE + graph zero,0.23172496145689267,0.24499416737096386,0.18444942198543773
zero,Expanded LSE + graph control,0.23300208311505757,0.2444346088091459,0.17966694799868616
zero,Linear state-space estimator,11.921226223721764,11.759479003400532,56.8744937623301
zero,Neural ODE,47.517341314827114,17.583511525521708,129.55132729363734
zero,LSTM sequence model,0.623272636725626,0.7157777745683486,1.0099578557905322
zero,Linear residual DML,0.13075399850097416,0.13403991893482808,0.23744521471218966
zero,Linear residual DML + graph zero,0.11987971447970755,0.1333749846486309,0.2262520277573837
zero,Linear residual DML + graph control,1.3557403297843056,1.3969918356171467,3.317195745596551
zero,Expanded DML,13.799537302754242,13.7413841341132,39.031615530357
zero,Expanded DML + graph zero,13.587133963190254,13.734474574875586,36.489274091806365
zero,Expanded DML + graph control,4.324864905815784,4.216772150737156,3.183617344621336
zero,RBF GP,0.3767506003465391,0.42750297007085686,1.1989502865321824
zero,Matern GP,0.20285882769132915,0.22156908252014756,0.5877231108584413
var,Average LSE,0.14268539667221197,0.14041369465726955,0.1135773983370797
var,Average LSE + graph zero,0.12374405827366666,0.1326113897685236,0.10503470797754552
var,Average LSE + graph control,0.10694942665622405,0.11296265719366379,0.10126844868404283
var,Expanded LSE,0.39782998717884377,0.4291753463058516,0.26309742564034216
var,Expanded LSE + graph zero,0.34968348128458465,0.4116227273325272,0.24177438354274122
var,Expanded LSE + graph control,0.3511176581289008,0.42041805981064506,0.2343010972657404
var,Linear state-space estimator,0.19587377138555953,0.1954072078183758,0.6853837180900798
var,Neural ODE,0.308391941957591,0.4355766435149149,2.391867013595557
var,LSTM sequence model,0.2385196362225451,0.25623032974050336,0.6524945101320979
var,Linear residual DML,0.4454505212179777,0.4452838131412188,0.7812902771857317
var,Linear residual DML + graph zero,0.44403481895337216,0.44430563943692675,0.6564045292273574
var,Linear residual DML + graph control,1.8920846299223997,1.976673716856321,1.4658835243238466
var,Expanded DML,0.6040531024941644,0.60529391012958,0.7853985375396203
var,Expanded DML + graph zero,0.5951161084607876,0.601364295260996,0.6894922177836461
var,Expanded DML + graph control,2.170957045055195,2.392283574657265,1.6666597648686572
var,RBF GP,0.8158884881009361,0.5474495419776267,6.440986366620114
var,Matern GP,0.42543297783173484,0.42825267199196215,0.7361040704107035
