source,target,lag,p_value,effect_size,abs_effect_size,connection_type,connection_string,selection_note,original_connection_type,source_all_links_csv
X1A,Y1A,0,0.0,0.8419772791647205,0.8419772791647205,-->,"(0,0) --> (1,0)",selected_alpha005_preserved_original_connection_type,-->,non_overlapping_pulse_var_baseline_varbase_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hdec_N3_parcorr_linear_assumed_all_links.csv
X1A,Y1A,1,0.0,-0.6706055047892645,0.6706055047892645,-->,"(0,-1) --> (1,0)",selected_alpha005_preserved_original_connection_type,-->,non_overlapping_pulse_var_baseline_varbase_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hdec_N3_parcorr_linear_assumed_all_links.csv
X1A,X2A,0,8.351229747195565e-146,0.3523861664638321,0.3523861664638321,-->,"(0,0) --> (2,0)",selected_alpha005_preserved_original_connection_type,-->,non_overlapping_pulse_var_baseline_varbase_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hdec_N3_parcorr_linear_assumed_all_links.csv
X1A,Y2A,1,0.03031951605380442,-0.030652261040910216,0.030652261040910216,-->,"(0,-1) --> (3,0)",selected_alpha005_inferred_source_to_target_from_all_links_row,,non_overlapping_pulse_var_baseline_varbase_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hdec_N3_parcorr_linear_assumed_all_links.csv
X1A,X3A,0,0.045652434078943385,-0.028291266436813244,0.028291266436813244,-->,"(0,0) --> (4,0)",selected_alpha005_inferred_source_to_target_from_all_links_row,,non_overlapping_pulse_var_baseline_varbase_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hdec_N3_parcorr_linear_assumed_all_links.csv
X1A,Y3A,0,0.0018871357664434086,-0.04396641400476845,0.04396641400476845,x-x,"(0,0) x-x (5,0)",selected_alpha005_preserved_original_connection_type,x-x,non_overlapping_pulse_var_baseline_varbase_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hdec_N3_parcorr_linear_assumed_all_links.csv
X1A,Y3A,1,0.018095315534496406,-0.033442969764360085,0.033442969764360085,-->,"(0,-1) --> (5,0)",selected_alpha005_inferred_source_to_target_from_all_links_row,,non_overlapping_pulse_var_baseline_varbase_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hdec_N3_parcorr_linear_assumed_all_links.csv
X1A,Y4A,0,1.1160072551692896e-05,-0.06213704191285926,0.06213704191285926,-->,"(0,0) --> (7,0)",selected_alpha005_preserved_original_connection_type,-->,non_overlapping_pulse_var_baseline_varbase_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hdec_N3_parcorr_linear_assumed_all_links.csv
X1A,Y4A,1,0.010861635958754766,0.03603343551293922,0.03603343551293922,-->,"(0,-1) --> (7,0)",selected_alpha005_inferred_source_to_target_from_all_links_row,,non_overlapping_pulse_var_baseline_varbase_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hdec_N3_parcorr_linear_assumed_all_links.csv
X1A,X3B,1,0.04844092039777742,0.027935917601464067,0.027935917601464067,-->,"(0,-1) --> (14,0)",selected_alpha005_inferred_source_to_target_from_all_links_row,,non_overlapping_pulse_var_baseline_varbase_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hdec_N3_parcorr_linear_assumed_all_links.csv
Y1A,X1A,0,0.0,0.8419772791647205,0.8419772791647205,<--,"(1,0) <-- (0,0)",selected_alpha005_preserved_original_connection_type,<--,non_overlapping_pulse_var_baseline_varbase_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hdec_N3_parcorr_linear_assumed_all_links.csv
Y1A,Y2A,1,2.339462088575729e-12,-0.09903317376491502,0.09903317376491502,-->,"(1,-1) --> (3,0)",selected_alpha005_preserved_original_connection_type,-->,non_overlapping_pulse_var_baseline_varbase_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hdec_N3_parcorr_linear_assumed_all_links.csv
Y1A,X1B,0,0.02807346149592762,-0.031097395133709765,0.031097395133709765,-->,"(1,0) --> (10,0)",selected_alpha005_inferred_source_to_target_from_all_links_row,,non_overlapping_pulse_var_baseline_varbase_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hdec_N3_parcorr_linear_assumed_all_links.csv
Y1A,Y2B,0,0.04743348992237865,0.028073518523928177,0.028073518523928177,-->,"(1,0) --> (13,0)",selected_alpha005_inferred_source_to_target_from_all_links_row,,non_overlapping_pulse_var_baseline_varbase_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hdec_N3_parcorr_linear_assumed_all_links.csv
Y1A,Y3B,0,0.012928349291724577,-0.03519380741252548,0.03519380741252548,-->,"(1,0) --> (15,0)",selected_alpha005_inferred_source_to_target_from_all_links_row,,non_overlapping_pulse_var_baseline_varbase_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hdec_N3_parcorr_linear_assumed_all_links.csv
X2A,X1A,0,8.351229747195565e-146,0.3523861664638321,0.3523861664638321,<--,"(2,0) <-- (0,0)",selected_alpha005_preserved_original_connection_type,<--,non_overlapping_pulse_var_baseline_varbase_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hdec_N3_parcorr_linear_assumed_all_links.csv
X2A,Y1A,1,0.0015286577814318857,-0.04484813309836263,0.04484813309836263,<->,"(2,-1) <-> (1,0)",selected_alpha005_preserved_original_connection_type,<->,non_overlapping_pulse_var_baseline_varbase_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hdec_N3_parcorr_linear_assumed_all_links.csv
X2A,X4A,1,0.020116721548192655,0.03288113090030946,0.03288113090030946,-->,"(2,-1) --> (6,0)",selected_alpha005_inferred_source_to_target_from_all_links_row,,non_overlapping_pulse_var_baseline_varbase_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hdec_N3_parcorr_linear_assumed_all_links.csv
X2A,X5A,1,0.011740760171007326,-0.03566921904297019,0.03566921904297019,-->,"(2,-1) --> (8,0)",selected_alpha005_inferred_source_to_target_from_all_links_row,,non_overlapping_pulse_var_baseline_varbase_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hdec_N3_parcorr_linear_assumed_all_links.csv
X2A,X2B,1,0.00965952558244431,-0.03663401172949474,0.03663401172949474,-->,"(2,-1) --> (12,0)",selected_alpha005_preserved_original_connection_type,-->,non_overlapping_pulse_var_baseline_varbase_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hdec_N3_parcorr_linear_assumed_all_links.csv
X2A,Y2B,0,0.02465505310024617,0.031815363527317266,0.031815363527317266,-->,"(2,0) --> (13,0)",selected_alpha005_inferred_source_to_target_from_all_links_row,,non_overlapping_pulse_var_baseline_varbase_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hdec_N3_parcorr_linear_assumed_all_links.csv
X2A,Y3B,0,0.01056050165693276,0.03620454516849341,0.03620454516849341,-->,"(2,0) --> (15,0)",selected_alpha005_inferred_source_to_target_from_all_links_row,,non_overlapping_pulse_var_baseline_varbase_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hdec_N3_parcorr_linear_assumed_all_links.csv
X2A,Y3B,1,0.024715462995977783,-0.031782892697357394,0.031782892697357394,-->,"(2,-1) --> (15,0)",selected_alpha005_inferred_source_to_target_from_all_links_row,,non_overlapping_pulse_var_baseline_varbase_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hdec_N3_parcorr_linear_assumed_all_links.csv
X2A,Y4B,1,0.01571017615521451,-0.03417712128173623,0.03417712128173623,-->,"(2,-1) --> (17,0)",selected_alpha005_inferred_source_to_target_from_all_links_row,,non_overlapping_pulse_var_baseline_varbase_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hdec_N3_parcorr_linear_assumed_all_links.csv
Y2A,X3A,0,0.020780752488397662,-0.032724728563390974,0.032724728563390974,-->,"(3,0) --> (4,0)",selected_alpha005_inferred_source_to_target_from_all_links_row,,non_overlapping_pulse_var_baseline_varbase_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hdec_N3_parcorr_linear_assumed_all_links.csv
Y2A,X4A,0,1.388466373330546e-20,0.13108263028482128,0.13108263028482128,<--,"(3,0) <-- (6,0)",selected_alpha005_preserved_original_connection_type,<--,non_overlapping_pulse_var_baseline_varbase_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hdec_N3_parcorr_linear_assumed_all_links.csv
Y2A,X4A,1,0.016327187571679228,-0.03399530371247826,0.03399530371247826,-->,"(3,-1) --> (6,0)",selected_alpha005_inferred_source_to_target_from_all_links_row,,non_overlapping_pulse_var_baseline_varbase_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hdec_N3_parcorr_linear_assumed_all_links.csv
Y2A,X1B,1,0.01025929611261758,0.036335828322853675,0.036335828322853675,-->,"(3,-1) --> (10,0)",selected_alpha005_inferred_source_to_target_from_all_links_row,,non_overlapping_pulse_var_baseline_varbase_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hdec_N3_parcorr_linear_assumed_all_links.csv
Y2A,Y1B,0,0.02248950438283724,-0.03230753477053053,0.03230753477053053,-->,"(3,0) --> (11,0)",selected_alpha005_inferred_source_to_target_from_all_links_row,,non_overlapping_pulse_var_baseline_varbase_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hdec_N3_parcorr_linear_assumed_all_links.csv
Y2A,Y2B,0,0.03836991452047036,-0.029343531037278665,0.029343531037278665,-->,"(3,0) --> (13,0)",selected_alpha005_inferred_source_to_target_from_all_links_row,,non_overlapping_pulse_var_baseline_varbase_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hdec_N3_parcorr_linear_assumed_all_links.csv
Y2A,Y2B,1,0.014797975628680828,0.034508235344736134,0.034508235344736134,-->,"(3,-1) --> (13,0)",selected_alpha005_inferred_source_to_target_from_all_links_row,,non_overlapping_pulse_var_baseline_varbase_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hdec_N3_parcorr_linear_assumed_all_links.csv
