source,target,lag,p_value,effect_size,abs_effect_size,connection_type,connection_string,selection_note,original_connection_type,source_all_links_csv
X1A,Y1A,0,0.0,0.5247641936573552,0.5247641936573552,-->,"(0,0) --> (1,0)",selected_alpha005_preserved_original_connection_type,-->,non_overlapping_pulse_var_baseline_varbase_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hstep_N3_parcorr_linear_assumed_all_links.csv
X1A,Y1A,1,0.0,-0.5917714405029991,0.5917714405029991,-->,"(0,-1) --> (1,0)",selected_alpha005_preserved_original_connection_type,-->,non_overlapping_pulse_var_baseline_varbase_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hstep_N3_parcorr_linear_assumed_all_links.csv
X1A,X2A,1,0.04782364428031783,-0.028013068776537038,0.028013068776537038,-->,"(0,-1) --> (2,0)",selected_alpha005_inferred_source_to_target_from_all_links_row,,non_overlapping_pulse_var_baseline_varbase_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hstep_N3_parcorr_linear_assumed_all_links.csv
X1A,Y2A,0,1.7590085172751096e-15,0.11233919583421009,0.11233919583421009,-->,"(0,0) --> (3,0)",selected_alpha005_preserved_original_connection_type,-->,non_overlapping_pulse_var_baseline_varbase_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hstep_N3_parcorr_linear_assumed_all_links.csv
X1A,Y2A,1,0.003876296845047236,-0.04087735115735177,0.04087735115735177,-->,"(0,-1) --> (3,0)",selected_alpha005_preserved_original_connection_type,-->,non_overlapping_pulse_var_baseline_varbase_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hstep_N3_parcorr_linear_assumed_all_links.csv
X1A,X3A,0,0.0014474580461707998,0.04506288318520418,0.04506288318520418,-->,"(0,0) --> (4,0)",selected_alpha005_preserved_original_connection_type,-->,non_overlapping_pulse_var_baseline_varbase_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hstep_N3_parcorr_linear_assumed_all_links.csv
X1A,X4A,1,1.2012070224761577e-08,0.08056553390003716,0.08056553390003716,-->,"(0,-1) --> (6,0)",selected_alpha005_preserved_original_connection_type,-->,non_overlapping_pulse_var_baseline_varbase_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hstep_N3_parcorr_linear_assumed_all_links.csv
X1A,X2B,1,0.023923728470260645,0.03196333808238016,0.03196333808238016,-->,"(0,-1) --> (12,0)",selected_alpha005_inferred_source_to_target_from_all_links_row,,non_overlapping_pulse_var_baseline_varbase_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hstep_N3_parcorr_linear_assumed_all_links.csv
X1A,X3B,0,0.04315396483323377,-0.028631279389139817,0.028631279389139817,-->,"(0,0) --> (14,0)",selected_alpha005_inferred_source_to_target_from_all_links_row,,non_overlapping_pulse_var_baseline_varbase_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hstep_N3_parcorr_linear_assumed_all_links.csv
X1A,Y4B,0,0.046754805169990137,-0.028151481497804758,0.028151481497804758,-->,"(0,0) --> (17,0)",selected_alpha005_inferred_source_to_target_from_all_links_row,,non_overlapping_pulse_var_baseline_varbase_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hstep_N3_parcorr_linear_assumed_all_links.csv
