source,target,lag,p_value,effect_size,abs_effect_size,connection_type,connection_string
T1,T2,0,0.0,0.980361708568051,0.980361708568051,-->,"(0,0) --> (1,0)"
T1,T2,1,5.375429276832837e-11,-0.06559153537499227,0.06559153537499227,-->,"(0,-1) --> (1,0)"
T1,C,0,9.266405119867858e-52,0.1506873012138481,0.1506873012138481,-->,"(0,0) --> (4,0)"
T1,C,2,0.00020068452601801302,-0.03719750472377747,0.03719750472377747,-->,"(0,-2) --> (4,0)"
T2,T1,0,0.0,0.980361708568051,0.980361708568051,<--,"(1,0) <-- (0,0)"
T2,T1,1,5.944633805354326e-30,-0.11343111321662774,0.11343111321662774,-->,"(1,-1) --> (0,0)"
T2,T1,2,2.507881584733697e-17,0.08457580144060656,0.08457580144060656,-->,"(1,-2) --> (0,0)"
T2,C,0,1.1319027732920419e-32,0.11874945095116146,0.11874945095116146,-->,"(1,0) --> (4,0)"
T2,C,2,1.620519555871305e-09,-0.060313775471458574,0.060313775471458574,-->,"(1,-2) --> (4,0)"
T2,P,2,0.005697007418424515,-0.02766621853677179,0.02766621853677179,-->,"(1,-2) --> (5,0)"
T2,u2,0,1.8308615977731623e-07,0.05215449661094425,0.05215449661094425,<--,"(1,0) <-- (7,0)"
T3,T2,1,0.04736750252356685,-0.019840445883453524,0.019840445883453524,-->,"(2,-1) --> (1,0)"
T3,T4,1,0.00036579745676510996,0.035648786382332924,0.035648786382332924,-->,"(2,-1) --> (3,0)"
T3,C,2,0.032003567773918135,-0.021458902485086036,0.021458902485086036,-->,"(2,-2) --> (4,0)"
T3,P,2,0.0035925736604427985,-0.0291396120253122,0.0291396120253122,<->,"(2,-2) <-> (5,0)"
T4,P,1,0.037076492770854244,0.020864158458316975,0.020864158458316975,<->,"(3,-1) <-> (5,0)"
T4,u4,0,5.754430942387053e-12,0.0688208293968833,0.0688208293968833,<--,"(3,0) <-- (9,0)"
C,T1,0,9.266405119867858e-52,0.1506873012138481,0.1506873012138481,<--,"(4,0) <-- (0,0)"
C,T1,2,4.766111870336416e-09,-0.05854655645173159,0.05854655645173159,-->,"(4,-2) --> (0,0)"
C,T2,0,1.1319027732920419e-32,0.11874945095116146,0.11874945095116146,<--,"(4,0) <-- (1,0)"
C,T2,1,2.11100162717172e-05,-0.042548265164111095,0.042548265164111095,-->,"(4,-1) --> (1,0)"
C,u3,0,0.03391933167367733,0.021224359851419263,0.021224359851419263,<--,"(4,0) <-- (8,0)"
P,T4,1,0.027262920033845728,-0.022092865599993215,0.022092865599993215,<->,"(5,-1) <-> (3,0)"
P,u2,0,0.04479629384141251,0.020079167181676526,0.020079167181676526,<--,"(5,0) <-- (7,0)"
u1,T1,1,0.0,0.4401825879097184,0.4401825879097184,-->,"(6,-1) --> (0,0)"
u1,T1,2,0.0,-0.3868025429443378,0.3868025429443378,-->,"(6,-2) --> (0,0)"
u1,C,1,0.00031875723114413587,0.036011835831621805,0.036011835831621805,-->,"(6,-1) --> (4,0)"
u1,C,2,7.890233011357876e-06,0.04469596983132494,0.04469596983132494,-->,"(6,-2) --> (4,0)"
